Date,Country,Exchange rate
1971-11-02,Japan,
1971-11-03,Japan,329.50
1971-11-04,Japan,330.87
1971-11-05,Japan,329.16
1971-11-08,Japan,329.22
1971-11-09,Japan,329.16
1971-11-10,Japan,329.11
1971-11-11,Japan,329.11
1971-11-12,Japan,329.49
1971-11-15,Japan,328.73
1971-11-16,Japan,328.62
1971-11-17,Japan,328.80
1971-11-18,Japan,328.68
1971-11-19,Japan,328.40
1971-11-22,Japan,328.41
1971-11-23,Japan,328.19
1971-11-24,Japan,328.04
1971-11-25,Japan,
1971-11-26,Japan,327.60
1971-11-29,Japan,327.06
1971-11-30,Japan,327.44
1971-12-01,Japan,327.60
1971-12-02,Japan,326.00
1971-12-03,Japan,325.10
1971-12-06,Japan,326.53
1971-12-07,Japan,323.62
1971-12-08,Japan,323.50
1971-12-09,Japan,323.52
1971-12-10,Japan,323.10
1971-12-13,Japan,322.79
1971-12-14,Japan,322.58
1971-12-15,Japan,321.54
1971-12-16,Japan,320.00
1971-12-17,Japan,320.36
1971-12-20,Japan,
1971-12-21,Japan,314.98
1971-12-22,Japan,314.96
1971-12-23,Japan,315.01
1971-12-24,Japan,315.21
1971-12-27,Japan,314.96
1971-12-28,Japan,315.01
1971-12-29,Japan,315.21
1971-12-30,Japan,315.01
1971-12-31,Japan,315.01
1972-01-03,Japan,314.86
1972-01-04,Japan,314.96
1972-01-05,Japan,314.86
1972-01-06,Japan,312.01
1972-01-07,Japan,312.50
1972-01-10,Japan,312.99
1972-01-11,Japan,314.47
1972-01-12,Japan,313.48
1972-01-13,Japan,313.97
1972-01-14,Japan,312.99
1972-01-17,Japan,313.38
1972-01-18,Japan,312.89
1972-01-19,Japan,312.79
1972-01-20,Japan,312.01
1972-01-21,Japan,312.30
1972-01-24,Japan,312.21
1972-01-25,Japan,311.82
1972-01-26,Japan,311.53
1972-01-27,Japan,310.08
1972-01-28,Japan,310.46
1972-01-31,Japan,310.56
1972-02-01,Japan,310.37
1972-02-02,Japan,308.55
1972-02-03,Japan,309.12
1972-02-04,Japan,308.64
1972-02-07,Japan,308.17
1972-02-08,Japan,307.69
1972-02-09,Japan,304.79
1972-02-10,Japan,304.69
1972-02-11,Japan,304.69
1972-02-14,Japan,304.23
1972-02-15,Japan,304.14
1972-02-16,Japan,303.95
1972-02-17,Japan,303.95
1972-02-18,Japan,303.49
1972-02-21,Japan,
1972-02-22,Japan,302.85
1972-02-23,Japan,302.48
1972-02-24,Japan,302.11
1972-02-25,Japan,302.48
1972-02-28,Japan,303.95
1972-02-29,Japan,303.40
1972-03-01,Japan,303.21
1972-03-02,Japan,303.03
1972-03-03,Japan,302.66
1972-03-06,Japan,302.75
1972-03-07,Japan,302.30
1972-03-08,Japan,302.02
1972-03-09,Japan,301.66
1972-03-10,Japan,301.93
1972-03-13,Japan,302.30
1972-03-14,Japan,302.21
1972-03-15,Japan,302.11
1972-03-16,Japan,302.02
1972-03-17,Japan,302.11
1972-03-20,Japan,302.30
1972-03-21,Japan,302.11
1972-03-22,Japan,302.11
1972-03-23,Japan,301.93
1972-03-24,Japan,302.30
1972-03-27,Japan,302.57
1972-03-28,Japan,302.85
1972-03-29,Japan,303.77
1972-03-30,Japan,303.77
1972-03-31,Japan,304.32
1972-04-03,Japan,304.14
1972-04-04,Japan,304.97
1972-04-05,Japan,305.16
1972-04-06,Japan,304.88
1972-04-07,Japan,303.21
1972-04-10,Japan,302.11
1972-04-11,Japan,302.30
1972-04-12,Japan,302.43
1972-04-13,Japan,302.57
1972-04-14,Japan,302.94
1972-04-17,Japan,302.57
1972-04-18,Japan,302.39
1972-04-19,Japan,302.94
1972-04-20,Japan,303.03
1972-04-21,Japan,303.21
1972-04-24,Japan,305.16
1972-04-25,Japan,304.32
1972-04-26,Japan,303.77
1972-04-27,Japan,304.23
1972-04-28,Japan,304.88
1972-05-01,Japan,304.41
1972-05-02,Japan,304.23
1972-05-03,Japan,304.32
1972-05-04,Japan,304.23
1972-05-05,Japan,304.32
1972-05-08,Japan,305.06
1972-05-09,Japan,304.97
1972-05-10,Japan,303.77
1972-05-11,Japan,303.58
1972-05-12,Japan,303.86
1972-05-15,Japan,304.32
1972-05-16,Japan,304.41
1972-05-17,Japan,304.51
1972-05-18,Japan,304.60
1972-05-19,Japan,304.04
1972-05-22,Japan,304.41
1972-05-23,Japan,304.23
1972-05-24,Japan,304.32
1972-05-25,Japan,304.32
1972-05-26,Japan,304.41
1972-05-29,Japan,
1972-05-30,Japan,305.34
1972-05-31,Japan,304.69
1972-06-01,Japan,304.41
1972-06-02,Japan,304.23
1972-06-05,Japan,304.69
1972-06-06,Japan,304.51
1972-06-07,Japan,304.41
1972-06-08,Japan,304.32
1972-06-09,Japan,304.23
1972-06-12,Japan,304.51
1972-06-13,Japan,304.04
1972-06-14,Japan,303.95
1972-06-15,Japan,304.04
1972-06-16,Japan,303.95
1972-06-19,Japan,303.86
1972-06-20,Japan,303.40
1972-06-21,Japan,302.94
1972-06-22,Japan,302.07
1972-06-23,Japan,294.12
1972-06-26,Japan,298.51
1972-06-27,Japan,298.51
1972-06-28,Japan,296.74
1972-06-29,Japan,300.75
1972-06-30,Japan,300.93
1972-07-03,Japan,300.84
1972-07-04,Japan,
1972-07-05,Japan,300.03
1972-07-06,Japan,300.57
1972-07-07,Japan,300.93
1972-07-10,Japan,301.30
1972-07-11,Japan,301.57
1972-07-12,Japan,301.20
1972-07-13,Japan,301.02
1972-07-14,Japan,301.20
1972-07-17,Japan,301.02
1972-07-18,Japan,300.75
1972-07-19,Japan,301.20
1972-07-20,Japan,300.93
1972-07-21,Japan,301.11
1972-07-24,Japan,301.20
1972-07-25,Japan,300.75
1972-07-26,Japan,301.20
1972-07-27,Japan,301.20
1972-07-28,Japan,301.20
1972-07-31,Japan,301.39
1972-08-01,Japan,301.20
1972-08-02,Japan,301.20
1972-08-03,Japan,301.20
1972-08-04,Japan,300.93
1972-08-07,Japan,301.11
1972-08-08,Japan,301.20
1972-08-09,Japan,301.20
1972-08-10,Japan,301.11
1972-08-11,Japan,301.11
1972-08-14,Japan,301.11
1972-08-15,Japan,301.20
1972-08-16,Japan,301.20
1972-08-17,Japan,301.20
1972-08-18,Japan,301.20
1972-08-21,Japan,301.11
1972-08-22,Japan,301.20
1972-08-23,Japan,301.20
1972-08-24,Japan,301.20
1972-08-25,Japan,301.20
1972-08-28,Japan,301.20
1972-08-29,Japan,301.20
1972-08-30,Japan,301.11
1972-08-31,Japan,301.11
1972-09-01,Japan,301.11
1972-09-04,Japan,
1972-09-05,Japan,301.20
1972-09-06,Japan,301.20
1972-09-07,Japan,301.11
1972-09-08,Japan,301.11
1972-09-11,Japan,301.20
1972-09-12,Japan,301.11
1972-09-13,Japan,301.11
1972-09-14,Japan,301.11
1972-09-15,Japan,301.11
1972-09-18,Japan,301.11
1972-09-19,Japan,301.11
1972-09-20,Japan,301.11
1972-09-21,Japan,301.11
1972-09-22,Japan,301.11
1972-09-25,Japan,301.11
1972-09-26,Japan,301.11
1972-09-27,Japan,301.02
1972-09-28,Japan,301.11
1972-09-29,Japan,301.11
1972-10-02,Japan,301.11
1972-10-03,Japan,301.11
1972-10-04,Japan,301.11
1972-10-05,Japan,301.11
1972-10-06,Japan,300.93
1972-10-09,Japan,
1972-10-10,Japan,300.93
1972-10-11,Japan,301.02
1972-10-12,Japan,301.02
1972-10-13,Japan,301.11
1972-10-16,Japan,301.11
